MIC_id,SpeciesName,SpeciesID,phylum_name_Type,genus,genus_name,family,family_name,order,order_name,class,class_name,phylum,phylum_name,kingdom,kingdom_name
MC01496,unclassified Defluviitaleaceae,1185411,Bacillota,.,.,1185407,Defluviitaleaceae,3085636,Lachnospirales,186801,Clostridia,1239,Bacillota,2,Bacteria
MC02803,unclassified Deinococcaceae,216625,Deinococcota,.,.,183710,Deinococcaceae,118964,Deinococcales,188787,Deinococci,1297,Deinococcota,2,Bacteria
MC02959,unclassified Deinococcales,2478478,Deinococcota,.,.,.,.,118964,Deinococcales,188787,Deinococci,1297,Deinococcota,2,Bacteria
MC03382,unclassified Deinococci,2718868,Deinococcota,.,.,.,.,.,.,188787,Deinococci,1297,Deinococcota,2,Bacteria
MC02787,unclassified Deinococcota,167875,Deinococcota,.,.,.,.,.,.,.,.,1297,Deinococcota,2,Bacteria
MC00590,unclassified Deltaproteobacteria,122706,Unclear phylum,.,.,.,.,.,.,28221,Deltaproteobacteria,.,.,2,Bacteria
MC02796,unclassified Dermabacteraceae,196886,Actinomycetota,.,.,85020,Dermabacteraceae,85006,Micrococcales,1760,Actinomycetes,201174,Actinomycetota,2,Bacteria
MC02807,unclassified Desulfobacteraceae,231684,Thermodesulfobacteriota,.,.,213119,Desulfobacteraceae,213118,Desulfobacterales,3024418,Desulfobacteria,200940,Thermodesulfobacteriota,2,Bacteria
MC02914,unclassified Desulfobacterales,1403365,Thermodesulfobacteriota,.,.,.,.,213118,Desulfobacterales,3024418,Desulfobacteria,200940,Thermodesulfobacteriota,2,Bacteria
MC00592,unclassified Desulfovibrionaceae,231685,Thermodesulfobacteriota,.,.,194924,Desulfovibrionaceae,213115,Desulfovibrionales,3031449,Desulfovibrionia,200940,Thermodesulfobacteriota,2,Bacteria
MC00593,unclassified Desulfovibrionales,271093,Thermodesulfobacteriota,.,.,.,.,213115,Desulfovibrionales,3031449,Desulfovibrionia,200940,Thermodesulfobacteriota,2,Bacteria
MC03209,unclassified Dipylidium,2634634,Platyhelminthes,66786,Dipylidium,109303,Dipylidiidae,6201,Cyclophyllidea,6199,Cestoda,6157,Platyhelminthes,33208,Metazoa
MC02925,unclassified Eggerthellaceae,1720314,Actinomycetota,.,.,1643826,Eggerthellaceae,1643822,Eggerthellales,84998,Coriobacteriia,201174,Actinomycetota,2,Bacteria
MC02940,unclassified Eggerthellales,1950943,Actinomycetota,.,.,.,.,1643822,Eggerthellales,84998,Coriobacteriia,201174,Actinomycetota,2,Bacteria
MC03384,unclassified Elusimicrobiaceae,2735567,Elusimicrobiota,.,.,641876,Elusimicrobiaceae,641854,Elusimicrobiales,641853,Elusimicrobia,74152,Elusimicrobiota,2,Bacteria
MC00560,unclassified Enterobacterales,305752,Pseudomonadota,.,.,.,.,91347,Enterobacterales,1236,Gammaproteobacteria,1224,Pseudomonadota,2,Bacteria
